frame,tracker_id,class_name,x_canon,y_canon,num_detecciones,area_pixeles
442,-1.0,orange ball,100.375,265.375,3,411.0
442,-1.0,orange ball,84.0,252.0,3,389.5
442,-1.0,orange ball,92.125,241.625,3,515.0
443,-1.0,orange ball,99.125,261.125,3,308.0
443,-1.0,orange ball,84.625,252.0,3,199.0
443,-1.0,orange ball,93.875,240.0,3,574.5
444,-1.0,orange ball,100.625,260.625,2,85.5
444,-1.0,orange ball,94.375,238.125,2,609.5
445,-1.0,orange ball,101.625,257.125,3,211.5
445,-1.0,orange ball,82.25,246.75,3,260.0
445,-1.0,orange ball,94.875,236.0,3,682.5
446,-1.0,orange ball,93.875,234.0,1,549.5
447,-1.0,orange ball,104.125,253.75,2,99.0
447,-1.0,orange ball,94.125,231.375,2,544.0
448,-1.0,orange ball,82.25,243.25,2,171.0
448,-1.0,orange ball,93.375,230.375,2,393.5
449,-1.0,orange ball,87.25,240.75,3,182.5
449,-1.0,orange ball,82.75,240.375,3,264.5
449,-1.0,orange ball,92.375,227.75,3,359.0
450,-1.0,orange ball,105.25,247.125,4,365.0
450,-1.0,orange ball,87.875,237.5,4,95.5
450,-1.0,orange ball,83.125,237.625,4,242.5
450,-1.0,orange ball,91.25,226.125,4,559.0
451,-1.0,orange ball,106.375,244.625,4,94.5
451,-1.0,orange ball,85.75,238.625,4,86.5
451,-1.0,orange ball,83.875,234.125,4,331.5
451,-1.0,orange ball,90.5,225.25,4,819.0
452,-1.0,orange ball,83.5,232.625,4,63.0
452,-1.0,orange ball,105.25,235.875,4,232.5
452,-1.0,orange ball,90.5,223.625,4,420.0
452,-1.0,orange ball,90.625,3.125,4,133.5
453,-1.0,orange ball,87.375,233.25,2,124.5
453,-1.0,orange ball,90.125,2.25,2,124.0
454,-1.0,orange ball,82.75,233.25,2,112.5
454,-1.0,orange ball,91.25,-0.125,2,76.0
455,-1.0,orange ball,91.5,-1.75,1,91.5
456,-1.0,orange ball,88.875,225.625,3,96.5
456,-1.0,orange ball,87.25,223.375,3,92.5
456,-1.0,orange ball,93.0,-3.5,3,89.5
457,-1.0,orange ball,87.5,225.625,2,207.5
457,-1.0,orange ball,91.625,-3.5,2,89.5
458,-1.0,orange ball,87.25,226.875,2,286.0
458,-1.0,orange ball,115.625,215.25,2,67.5
459,-1.0,orange ball,86.125,228.0,1,205.0
460,-1.0,orange ball,85.125,228.875,1,752.0
461,-1.0,orange ball,85.25,229.25,1,86.0
462,-1.0,orange ball,84.0,229.0,1,166.0
463,-1.0,orange ball,84.875,229.0,2,122.0
463,-1.0,orange ball,119.0,201.875,2,86.5
464,,,,,0,
465,-1.0,orange ball,83.125,228.75,2,103.0
465,-1.0,orange ball,119.375,201.125,2,114.0
466,-1.0,orange ball,83.125,229.5,2,136.0
466,-1.0,orange ball,120.0,198.625,2,71.0
467,-1.0,orange ball,82.625,231.25,1,458.5
468,,,,,0,
469,-1.0,orange ball,83.125,233.875,1,101.0
470,-1.0,orange ball,84.125,235.75,1,140.5
471,-1.0,orange ball,85.5,236.75,2,103.0
471,-1.0,orange ball,123.0,196.375,2,227.5
472,-1.0,orange ball,85.625,236.5,3,83.5
472,-1.0,orange ball,124.5,197.125,3,120.0
472,-1.0,orange ball,126.125,193.0,3,82.5
473,-1.0,orange ball,85.625,236.375,3,137.0
473,-1.0,orange ball,125.75,197.0,3,60.0
473,-1.0,orange ball,128.125,191.25,3,130.0
474,-1.0,orange ball,86.25,236.5,2,154.5
474,-1.0,orange ball,127.875,195.875,2,68.0
475,-1.0,orange ball,86.625,236.5,2,215.0
475,-1.0,orange ball,129.25,195.75,2,163.0
476,-1.0,orange ball,87.625,237.0,3,168.0
476,-1.0,orange ball,131.0,196.75,3,437.5
476,-1.0,orange ball,134.25,188.625,3,109.5
477,-1.0,orange ball,87.125,236.625,4,195.0
477,-1.0,orange ball,133.0,198.5,4,139.5
477,-1.0,orange ball,133.125,193.875,4,202.0
477,-1.0,orange ball,135.75,188.375,4,101.0
